"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cotizacion de vehiculo","Cotización persona juridica inexistente, codigo fasecolda, con datos adicionales y vehiculo en leasing y conductor habitual - Backoffice","FAILURE","2024-03-06T08:36:41.0928804-05:00[America/Bogota]","0.0","26.16"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Aliado","FAILURE","2024-03-06T09:05:12.8641785-05:00[America/Bogota]","0.0","134.97"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Intermediario","FAILURE","2024-03-06T09:38:18.9762153-05:00[America/Bogota]","0.0","134.75"
