"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cotizacion de vehiculo","Cotización persona natural existente, codigo fasecolda, con datos adicionales, con vehiculo en leasing y conductor habitual - Backoffice","FAILURE","2024-03-06T08:26:26.6197715-05:00[America/Bogota]","0.0","208.13"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Aliado","FAILURE","2024-03-06T09:05:12.8641785-05:00[America/Bogota]","0.0","134.97"
"Realizar cotizacion de vehiculo con usuario aliado","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - Aliado","FAILURE","2024-03-06T09:17:46.667811-05:00[America/Bogota]","0.0","135.5"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente, código fasecolda, con datos adicionales y vehículo en leasing y conductor habitual - Intermediario","FAILURE","2024-03-06T09:38:18.9762153-05:00[America/Bogota]","0.0","134.75"
"Realizar cotizacion de vehiculo con usuario intermediario","Cotización persona jurídica inexistente en inbroker con placa en fasecolda, con datos adicionales, vehículo en leasing y conductor habitual - Intermediario","FAILURE","2024-03-06T09:50:50.7891925-05:00[America/Bogota]","0.0","137.75"
